name,faculty,group,gpa
Eworetoti Ygyqykix,Forensics,212,7.43
Ulujihehu Edymy,Forensics,221,9.43
Ade Ykodar,Forensics,240,9.68
Ybokyp Ekefafic,Pentest,223,9.6
Oxyryj Osydoquda,Cybersec,210,7.48
Aniquwo Alik,Forensics,233,7.63
Yjabome Egigit,Teapotting,209,5.36
Avu Ysyjibe,Teapotting,259,7.43
Yjaxoqyhev Ineged,Teapotting,224,8.77
Yfyrogelo Atutiwi,Forensics,226,6.26
Esocoge Isoh,Teapotting,237,7.8
Ozubysa Yhisuxorak,Forensics,259,9.08
Aziharowew Aqa,Pentest,237,9.08
Oxekudok Ydodo,Reverse,223,7.51
Ahoqi Uke,Forensics,254,4.98
Emyhivo Ihimuqik,Teapotting,227,9.39
Oloqipajev Ymitu,Pwn,210,6.0
Orab Uriv,Pwn,256,8.87
Edolu Ehexumilo,Pwn,204,4.64
Uqyjos Izyca,Forensics,247,9.47
Idasaka Ohazopijev,Forensics,210,5.47
Ylexeh Uke,Cybersec,200,4.48
Olod Utegegodi,Pwn,227,8.89
Awydid Urycod,Cybersec,251,8.59
Iqeca Iguwytaku,Forensics,203,6.95
Yjuvypete Unutejaho,Teapotting,244,4.66
Ofi Ekawa,Teapotting,200,5.23
Ego Arygofu,Cybersec,223,5.88
Ehiwyvyb Enew,Pwn,260,5.49
Anylogyde Ugos,Pentest,205,7.27
Ugabyp Alytoqewe,Cybersec,233,8.78
Uga Alugyg,Pwn,251,7.51
Ycixax Ytive,Cybersec,221,7.97
Ozymimazup Ipuqijapa,Forensics,234,5.5
Udih Ixivufof,Cybersec,242,7.2
Ukutysivyh Ekycavar,Reverse,235,5.27
Ikalaguv Ofe,Cybersec,217,5.92
Atyhi Ynimu,Pentest,241,9.64
Abywo Ihaxyqaqyt,Reverse,209,4.57
Eqykitolo Opaza,Teapotting,257,5.39
Ilagulexuh Iguvaq,Pwn,205,7.8
Ovonava Ocic,Reverse,233,6.79
Ozipyke Exavagog,Forensics,220,6.54
Utehosuz Oqalofy,Reverse,216,5.63
Ary Exojozu,Teapotting,240,5.53
Erehygice Ivusukipa,Reverse,231,4.95
Anawaperij Aryhetivoh,Forensics,239,7.01
Ijebozud Uzuzysa,Reverse,210,7.03
Irygyc Upoxyxipo,Forensics,244,5.27
Ylequlypi Alylawi,Reverse,257,6.15
Otuso Ixugy,Pentest,218,6.75
Exewivi Uritozysag,Reverse,243,4.1
Ykuvyl Evigufuryv,Pentest,202,8.26
Ugi Ywevevek,Cybersec,236,4.78
Emevih Arehivihu,Pentest,208,4.17
Odedaqu Ubo,Cybersec,201,6.57
Apo Obihepipaj,Pentest,202,6.91
Yhuxigyf Ugymaxog,Reverse,249,7.96
Ywi Ygylewevu,Pwn,202,7.73
Oxawy Ixapu,Pentest,201,8.65
Ohut Oduwusypex,Teapotting,260,9.46
Axik Yhibaxuneg,Reverse,237,5.41
Axyhus Ogagam,Forensics,254,7.86
Ohit Amutymune,Pentest,258,5.55
Eqiwav Omunug,Pentest,219,5.56
Edar Yri,Pwn,216,5.38
Ecoqahysuj Owebosypuw,Forensics,208,6.72
Ovutonyv Ysubyg,Pwn,257,9.46
Oku Eco,Pwn,248,6.55
Ygagobuxej Udybidepuk,Pentest,234,6.24
Ajevewem Ohaxegycaw,Teapotting,236,6.83
Ebynim Ivupafo,Forensics,201,5.88
Acuxed Inehe,Reverse,234,8.57
Abix Ulewixix,Forensics,240,7.54
Uxi Oligoguq,Pentest,200,8.57
Unonedo Ypivymuxu,Cybersec,251,9.62
Ivy Uhyvapahir,Pentest,258,6.44
Inasifyvyr Uku,Forensics,249,5.8
Ison Enivo,Pentest,244,9.15
Ugyfyq Ivopoty,Forensics,226,4.73
Ipe Ozo,Forensics,252,8.38
Ipedymyd Alojyjag,Pwn,245,5.12
Emisa Uroquly,Teapotting,233,6.29
Osivaxaro Ydeqicudep,Pentest,235,8.44
Idowyqymog Efokypo,Teapotting,258,9.92
Yjuwenexot Ofyj,Teapotting,220,5.7
Osiwyjag Ipena,Teapotting,256,8.39
Ijov Ebuqu,Teapotting,219,9.89
Otoneloq Yny,Cybersec,240,5.4
Uku Ybibohodur,Pentest,247,7.88
Uvucubo Yjupybusyf,Pwn,257,6.4
Yjibiqy Acisu,Pentest,241,5.41
Umuqoqad Ixis,Pentest,214,7.66
Ire Igupaje,Cybersec,219,4.08
Ikehoso Ofu,Pentest,212,7.22
Ahovylojy Amecim,Cybersec,208,5.1
Yleta Opukidy,Forensics,209,8.87
Otetewuv Uzibyjone,Teapotting,219,9.11
Igusobeca Itazosycyt,Pwn,201,7.07
Imane Uvavoficow,Cybersec,211,8.72
