name,faculty,group,gpa
Ereqadul Ibur,Forensics,245,8.82
Ugicexyma Ewidi,Pentest,218,7.54
Yhi Uvib,Pwn,236,8.93
Ukuwo Yroseb,Pwn,220,6.22
Osenigix Osugamuh,Reverse,227,4.95
Egyp Ony,Pentest,237,6.11
Isihupux Imod,Teapotting,223,4.91
Esoxofy Etu,Cybersec,248,8.97
Ecamejijus Acukamisic,Pwn,248,4.61
Oxyfel Yqohac,Pwn,200,9.27
Ivexy Okehysapu,Teapotting,257,4.79
Iwowytuc Inyroh,Pentest,251,4.52
Oracurokin Ufahyqek,Reverse,241,4.17
Yxosusopoq Unotawexyz,Forensics,201,7.44
Yniqu Ujifajyju,Forensics,216,5.14
Ujy Ovuby,Teapotting,232,8.11
Ohuse Iliqipuky,Teapotting,204,7.62
Eryvuxig Etolubi,Pentest,217,5.07
Efatibiweb Icubepokyr,Cybersec,236,8.03
Obocugujyw Ygekutorug,Reverse,226,8.23
Eqytogi Awuwe,Reverse,220,6.55
Axykamasu Asahogo,Forensics,253,9.87
Afu Ypizaly,Reverse,246,8.91
Odyf Ysovyge,Forensics,251,4.82
Elebigoxog Yfuqu,Pentest,220,8.81
Uzalewyvu Avorubutaz,Teapotting,201,5.85
Ehazyji Etate,Pentest,215,4.37
Yjadyhe Exagetota,Cybersec,242,6.31
Ydymibyjyr Ycyniqukok,Pwn,254,5.47
Apylijypis Inabubu,Pwn,259,4.17
Ale Ymyjod,Cybersec,223,6.28
Eqexywes Yden,Teapotting,219,5.54
Isabifaci Agiryzewab,Forensics,248,7.09
Opycunuxy Ygehovimi,Cybersec,219,5.41
Ufymewuvoc Uhakoho,Forensics,230,8.51
Oqag Ewawi,Pwn,259,6.78
Abewy Usapod,Pentest,205,4.33
Upujaqox Enyjovudum,Cybersec,231,4.15
Ajab Idiq,Reverse,233,4.61
Umumateri Odi,Reverse,233,5.33
Eqycutoj Ozul,Reverse,251,7.5
Ycyxa Utepyliryf,Teapotting,229,8.27
Ypobavu Ududysuv,Pentest,219,7.01
Egysynuryf Uvujegegy,Forensics,203,9.26
Ovihihiha Ujedifas,Teapotting,216,6.63
Utudumoz Uhepoxoze,Pwn,256,6.28
Omicikydu Ijyk,Forensics,226,8.75
Usuneka Iconyxek,Teapotting,222,7.3
Alimi Ani,Teapotting,245,9.77
Onyjiqob Yrubuja,Teapotting,239,7.09
Egu Yvaro,Pentest,223,6.75
Ypozomeje Agy,Forensics,207,6.05
Afivoqicid Uzysi,Cybersec,218,4.42
Utydobew Oqi,Teapotting,239,8.99
Iba Ehod,Forensics,232,9.78
Imexeqybiv Ucucike,Reverse,220,4.16
Ynysy Itaxofoli,Reverse,234,5.52
Epezizinoz Etejomuq,Pwn,208,5.48
Ihojyqalo Ezub,Cybersec,260,9.0
Ikupudi Itekom,Forensics,252,6.5
Usynitamo Avikivipo,Forensics,213,5.94
Amycahucy Ybew,Teapotting,208,8.57
Yxy Uta,Forensics,251,7.71
Uryqub Ahyvamixi,Teapotting,204,6.12
Amovyzasu Acybite,Cybersec,220,4.34
Ygaxod Esynevyx,Cybersec,239,9.46
Oga Efyliju,Forensics,233,9.18
Uqadehibak Egy,Pentest,248,7.16
Upy Ivihesyni,Teapotting,218,4.51
Ivugebil Ubazonefix,Pwn,248,9.85
Ujo Ulyzuwy,Cybersec,236,9.87
Ybewivyx Yve,Forensics,211,5.12
Ogepavid Iwukajup,Pentest,237,6.23
Izipowoqiz Ijes,Forensics,259,7.08
Yrev Utevi,Reverse,252,6.35
Aken Ymezujyfus,Cybersec,213,6.23
Oxojovuhit Ivyruk,Pentest,212,8.97
Ejefafisu Uvazyf,Pentest,221,5.61
Ykewyfaqo Aceja,Reverse,245,4.56
Udiromyjo Ugifosyq,Pwn,220,4.67
Yrifysexo Ixosyzosyz,Pentest,240,7.64
Upokug Isetafacuk,Forensics,234,5.81
Ezoca Urigup,Forensics,237,8.51
Ocekobava Uby,Reverse,228,7.23
Ygudoqo Aqoqeniku,Pentest,218,9.25
Oquwew Yxeco,Cybersec,235,6.26
Oliner Izo,Teapotting,250,4.04
Exujyk Ela,Pentest,215,6.91
Oqixiru Oxevi,Teapotting,255,8.52
Ojib Axoli,Cybersec,206,8.07
