name,faculty,group,gpa
Exahewilu Uqarezime,Reverse,242,7.27
Olibujuzek Ifave,Cybersec,220,8.42
Ecanuk Ahiq,Teapotting,250,8.49
Uvakic Utemon,Pwn,220,9.12
Osej Ezitasoxu,Reverse,206,7.33
Atazijik Ycob,Teapotting,232,4.68
Yfesygidic Imuhux,Cybersec,202,9.76
Uxokijodec Etilyjoge,Forensics,243,4.05
Avokevadiv Emyla,Forensics,217,4.15
Obeji Ijepozin,Cybersec,208,5.41
Iteb Efyrudo,Forensics,243,4.51
Umitodagel Esuva,Teapotting,206,9.45
Isyc Ehosagi,Forensics,231,6.12
Ujocakykoj Ahe,Teapotting,260,7.37
Oqapyzupox Exipizo,Forensics,242,9.05
Olusyqyjyz Ihedep,Cybersec,239,7.48
Aqijoc Izozu,Pwn,233,9.67
Awowyxabel Osurewuhi,Cybersec,244,8.6
Yxecafa Ykotywas,Pwn,241,4.98
Akylonolop Eminogec,Pwn,229,5.37
Ycid Awufyse,Reverse,259,5.8
Uxumipy Oce,Teapotting,245,9.79
Avavoli Opixu,Reverse,204,8.94
Agarovo Itifiqewuf,Pwn,219,5.0
Ogalirede Uxyxedoqug,Pwn,240,9.67
Yvopad Abo,Pwn,234,9.97
Yty Ehitodi,Cybersec,244,5.13
Ymy Axu,Pwn,231,9.11
Uvabubyh Opolovewe,Teapotting,223,5.86
Isalohymer Ibyjysyz,Cybersec,233,5.1
Ubasosyjuf Onufus,Pentest,246,9.88
Oziruxe Ycovoko,Reverse,246,4.69
Yhog Usinyxyxif,Pentest,233,4.83
Uqupinyram Elyzilecob,Reverse,207,9.96
Olaja Oqopunih,Cybersec,223,9.17
Usyvuwaq Oteheheb,Cybersec,224,7.47
Yzorebi Epa,Pwn,214,8.11
Asytidur Azoh,Teapotting,231,8.15
Axamatyp Izyxe,Cybersec,241,7.39
Ipene Ypo,Pwn,215,5.48
Ucixaxos Yfyw,Pwn,244,9.45
Ewu Ypevory,Pentest,245,7.12
Onawuby Ekimajuh,Teapotting,239,9.84
Upaluzasu Emaqadiz,Teapotting,217,8.93
Ozimos Idezidyna,Reverse,222,7.08
Ixo Omery,Reverse,207,8.39
Ahipesojom Otolyv,Reverse,238,8.96
Uki Opuwono,Reverse,245,6.34
Usamohu Opogu,Pwn,213,6.28
Yzowebyweb Inobas,Pentest,233,5.18
Uputyxu Eqecosi,Forensics,238,5.99
Uzeny Ykeva,Pentest,200,6.63
Uluwul Ewur,Cybersec,240,6.58
Ofoc Asewuw,Forensics,201,7.66
Axun Uqez,Teapotting,257,9.55
Ewe Ipeju,Forensics,238,7.83
Onuvuf Ynoji,Forensics,211,4.78
Ivuvukuwa Ahyfuf,Cybersec,260,4.43
Egutit Ibaxy,Cybersec,254,7.75
Ywuden Ovexutobav,Reverse,232,7.2
Izuk Ika,Teapotting,234,4.82
Ehucuhe Ecopowo,Pwn,260,4.54
Imozeh Udoqor,Reverse,222,8.66
Iguliguqek Oxeqoq,Pentest,240,8.55
