name,faculty,group,gpa
Oroxaryjev Ykysewego,Pwn,225,7.74
Acygacoher Ijolig,Pwn,211,6.17
Ezyfogo Emaziwybi,Pwn,224,9.66
Azapulatuq Epyp,Teapotting,205,5.31
Ibipe Ehivate,Teapotting,242,6.13
Edejez Idurylokil,Pentest,227,5.15
Uhiveqyhas Ototorohe,Forensics,214,5.69
Apyfakuki Etuxyfuh,Pwn,256,8.76
Owece Ewivipaq,Reverse,208,6.65
Yxibymuba Udoforad,Reverse,247,9.62
Ogijuret Idexyxiw,Teapotting,230,5.87
Uwojefa Ilojo,Teapotting,231,5.14
Etudy Emyjepec,Forensics,234,9.12
Ehazoqeci Ibyc,Teapotting,243,9.99
Ylyqiwuxu Ufiz,Pwn,215,9.48
Azahebyv Ilevyg,Teapotting,211,7.52
Yxixo Ewamifado,Pwn,206,5.09
Yharyzysi Udygu,Pwn,237,7.64
Ecoco Avojyw,Cybersec,205,7.82
Yxido Yfarisy,Reverse,215,6.91
Odakucug Ely,Pwn,203,4.15
Odixukuhe Akyzusiz,Reverse,200,7.9
Idux Ozumoxop,Pwn,220,9.14
Yje Isysynimil,Cybersec,259,6.29
Yte Ovo,Pwn,250,4.47
Inara Atefuhimu,Teapotting,224,9.09
Ujyducopol Ikolac,Reverse,218,5.63
Odilised Itezitobyn,Pwn,259,4.95
Agiwyc Uhewidyc,Reverse,239,8.76
Ugycan Inohoka,Reverse,208,7.25
Ujofimuqu Oxehur,Teapotting,210,9.25
Uka Ijygep,Pwn,204,6.95
Efupuho Evyho,Pwn,215,6.44
Ulozozos Avitigew,Pentest,204,5.87
Obedyli Ygov,Cybersec,203,5.37
Eli Exylimune,Pwn,208,7.24
Adudase Esykona,Pwn,225,4.22
Uhyfah Okidezonog,Forensics,210,6.23
Ysuqefygy Agalaka,Cybersec,250,5.74
Obohilavy Yhu,Pentest,257,5.03
Axowuxiq Osyciquz,Cybersec,219,6.11
Ihak Uradukujy,Pentest,255,8.47
Ezejyw Emirade,Pwn,229,5.42
Otuhymery Anomycoluc,Forensics,214,9.05
Epufeni Exih,Pentest,239,6.06
Agubohul Ehyv,Reverse,259,4.9
