name,faculty,group,gpa
Uzopu Inuluman,Cybersec,245,6.3
Amywy Acuwuqoma,Pwn,210,4.48
Ikopyn Eryzyv,Pentest,211,7.11
Ysivugawyj Urigykaq,Pentest,211,8.61
Ewosej Itaqa,Pentest,200,5.36
Ivovopelyv Apyqosasyk,Forensics,213,7.54
Amof Ikiqodogiw,Reverse,225,4.37
Ojewipyzis Ovinaga,Pwn,201,9.07
Izadiqivof Ykytun,Forensics,221,8.62
Imepatybat Exy,Cybersec,240,6.72
Oqiboxolax Ojusoj,Cybersec,240,6.61
Yvomix Izym,Pentest,246,8.28
Ynurihi Odo,Forensics,254,5.17
Epokumyju Iciqije,Teapotting,253,4.02
Yqi Odycedaw,Pentest,222,5.71
Ofix Anyz,Forensics,246,8.17
Edaruly Ugavifocy,Forensics,236,6.31
Anysofaryh Ivazepah,Forensics,211,4.11
Amukajef Yvyxijilih,Forensics,224,4.39
Ofos Ubajywumuh,Teapotting,237,8.22
Ahyfuvebon Ywux,Reverse,206,6.09
Evetyko Ixaq,Cybersec,251,9.02
Irony Arag,Forensics,233,9.7
Izepevena Yver,Cybersec,205,6.12
Ujaw Ufykyde,Pentest,210,9.59
Efezyryrit Ecodaqahi,Cybersec,246,4.54
Olihy Aqufac,Cybersec,214,5.49
Iga Yfasypizu,Pentest,224,4.41
Oxuliwum Iqes,Teapotting,252,8.71
Omidusewy Ihaven,Pwn,253,6.64
Itaqira Ocypunoxa,Reverse,238,6.44
Afuxiwefib Abadafe,Pwn,239,8.96
Oxosikoh Orurep,Pentest,255,4.12
Eco Ibiri,Reverse,260,7.81
Urazuge Ovecob,Forensics,212,6.55
Uwijip Opif,Pentest,247,8.29
Akymat Ilaxaqigo,Reverse,255,6.44
Ezagebisun Ipa,Forensics,232,6.45
Ywufegyc Iwoqi,Reverse,210,7.31
Ofomicuz Itovenupu,Forensics,231,7.94
Ahyduly Ysi,Reverse,209,5.33
Uwacyz Oxuro,Cybersec,201,9.27
Osen Ybe,Pwn,216,6.72
Efuno Ymuxo,Pwn,234,4.86
Ynavafag Ohigopemyk,Reverse,207,4.47
Omym Ubobi,Cybersec,251,6.48
Ufycew Okamy,Pentest,201,7.22
Ixy Uwi,Pwn,221,8.47
Efa Eruxi,Cybersec,246,9.48
Yxery Omecidak,Forensics,224,9.24
