name,faculty,group,gpa
Uwyt Afulaqizuz,Reverse,225,6.81
Epihog Afes,Cybersec,244,6.06
Avazydytyx Esiqofuc,Pwn,228,7.67
Ire Aqiha,Pwn,203,5.82
Izukibeho Irivaxuqy,Cybersec,225,9.78
Aziguveca Agupij,Reverse,209,4.59
Oryleneriz Evuxil,Cybersec,219,8.37
Obyvemu Igyrowigar,Cybersec,227,7.9
Otoloqo Ohadume,Pentest,207,6.39
Iqasep Owasukusep,Forensics,259,7.72
Esiqagac Uqaj,Pwn,201,7.74
Obedyfys Eleduna,Cybersec,260,5.08
Efiryf Uvopojoqe,Pwn,228,9.98
Oqyni Izejyxaq,Cybersec,255,6.39
Osibec Ynid,Reverse,237,4.65
Emu Asarutede,Cybersec,205,9.29
Ewycu Eles,Pentest,223,4.56
Avire Ezago,Cybersec,227,9.21
Equtazuhir Ehikizu,Pwn,224,6.45
Ugaj Asywywyle,Pwn,206,7.56
Atire Ajuvicyb,Reverse,206,7.45
Imadihu Itefacaco,Forensics,256,8.76
Avokalodo Aparogo,Teapotting,252,6.86
Ipyb Amud,Reverse,223,6.8
Eluliv Opyhecy,Teapotting,222,8.66
Opozu Yletyduf,Cybersec,230,6.86
Ocete Egom,Pentest,242,9.98
Adaj Ijacu,Cybersec,207,4.23
Ydetitihaz Yge,Forensics,227,8.57
Yhatafol Acysejyke,Pwn,200,4.48
Yjikepo Oxu,Pentest,227,7.19
Ozuku Igil,Cybersec,202,6.41
Ohubypup Usizevi,Pentest,210,7.82
Emakuweci Ukumi,Teapotting,213,8.46
Iroruje Ugyru,Cybersec,238,8.06
Ycyxiqa Uzu,Forensics,201,9.94
Agyjila Ulyna,Teapotting,207,7.95
Obujanyloj Ydywyvata,Cybersec,253,9.5
Axyjynov Izyqymo,Cybersec,227,7.3
Ytufoxoj Inopo,Pwn,204,9.47
Ucinyr Apexy,Pwn,235,4.02
Yhuh Eticywu,Pwn,201,4.69
Odynypamu Esysu,Pentest,257,6.43
Exyk Oza,Cybersec,217,4.74
Ilocyga Ypy,Cybersec,233,4.87
Enaru Olufumu,Forensics,236,5.99
Yvi Yjubat,Forensics,202,6.05
Ynaleziza Umebo,Forensics,210,4.48
Utidihoko Ohokyteha,Cybersec,202,6.52
Isoja Uqekura,Cybersec,222,4.19
Ipemupi Oto,Reverse,232,8.42
Onatolyg Ynodadah,Forensics,215,5.14
Uleva Adurypibi,Forensics,208,4.16
Ylugyfuxa Iluqojyjoc,Cybersec,218,7.26
Arynabog Ateneg,Pwn,208,7.39
Akirynumyt Ygesomux,Pentest,210,6.71
Akeneleh Uqikybip,Forensics,201,5.15
Ojadykip Ezorazulif,Reverse,219,4.16
Ywa Axa,Pwn,257,5.58
Ubegige Uzipaneqez,Reverse,230,4.31
Ekaz Atu,Pwn,201,9.61
Enasucifur Egy,Pwn,246,5.41
Ysaxeqovi Edihesabem,Pentest,204,7.3
Uhaw Ade,Reverse,253,8.0
Inonixy Ybux,Reverse,232,7.08
Itycudenyw Awa,Pentest,226,5.7
Evipe Opewy,Pwn,206,7.99
Oxajuv Yboq,Pwn,223,9.45
Eqixihij Ododuv,Reverse,255,9.39
Ypulone Amazepat,Pentest,238,8.08
Iter Unyja,Pwn,205,6.01
Ozyjy Emiwacima,Teapotting,219,7.4
Ujyq Oxysoritog,Cybersec,242,4.92
Iheruvos Yzegelihu,Cybersec,211,8.68
Ivukisiwi Exykyf,Cybersec,200,6.11
Ywusuh Iwi,Teapotting,251,7.36
Yhas Ixakym,Teapotting,214,6.56
Ujom Awosov,Pwn,210,6.53
Yjinakuwu Esyrak,Pentest,219,4.29
Ubetonez Ofygegokyg,Cybersec,234,6.05
Ezusyr Arijerasy,Teapotting,227,8.35
Oqam Uredu,Teapotting,258,6.61
Usagev Akus,Reverse,210,9.55
Inenex Ymyg,Cybersec,204,5.58
Ozanoxycuj Uhe,Pentest,239,7.39
Yjapafixa Uneni,Reverse,244,6.8
Oxidik Igazezaqyh,Pwn,210,7.41
Unin Egaq,Pentest,226,6.11
Ehe Owomatyju,Reverse,247,8.91
