name,faculty,group,gpa
Amutafe Izotosyc,Forensics,244,4.84
Umemu Oda,Pwn,234,9.4
Ihahijoful Uhe,Reverse,253,4.03
Ege Oco,Reverse,207,8.77
Ytujypoka Usul,Forensics,209,8.15
Ozotyba Efe,Teapotting,214,8.28
Uduva Evam,Pwn,206,4.32
Aruz Ucexow,Pwn,237,9.78
Axywariwaf Ogudi,Pentest,238,5.49
Aposivupe Itumatafy,Teapotting,204,7.39
Uqubiruf Yxyve,Pentest,208,6.0
Odacaje Ohaqejuc,Reverse,209,8.51
Iqi Itofyz,Pentest,227,5.07
Eligyfuqe Ifusutu,Reverse,260,6.92
Otujo Emilevuwu,Reverse,235,5.93
Ecawekyto Ixyji,Teapotting,221,4.2
Ydegaxek Ehivagusu,Teapotting,207,5.65
Ihamyzyj Ehy,Cybersec,220,5.12
Omitigi Ake,Cybersec,236,5.96
Iqa Ohi,Reverse,244,6.72
Okym Idyp,Reverse,230,8.15
Itib Adulos,Teapotting,243,6.9
Ejaxikywo Okat,Cybersec,243,6.24
Esogu Imekenihav,Pwn,210,7.12
Unuhy Yci,Forensics,230,4.65
Adenavyda Ecom,Pentest,232,4.17
Ybohimohi Axiq,Teapotting,248,8.94
Ydyzasajyd Iwalodujy,Forensics,212,5.27
Yrawof Axazuh,Reverse,258,8.61
Ulahum Ibyl,Teapotting,238,5.85
Ewoveniwop Inuguhen,Cybersec,236,6.73
Eranazafof Ycijosex,Pentest,243,6.43
Akap Ahupyro,Teapotting,247,4.08
Ihyfidirum Awyz,Reverse,250,5.39
Efany Ydeqymed,Forensics,251,8.29
Aduzupox Yje,Forensics,258,9.65
Aqokygeb Iwesydybu,Pwn,235,5.22
Ohanad Ocopataj,Teapotting,253,7.95
Ybex Yzuvekeqod,Forensics,235,6.5
Ilypo Opynujuz,Teapotting,220,8.4
Egelyfimy Iwejeked,Pwn,232,4.91
Ipo Igahalev,Cybersec,256,7.86
Ahyciq Ijukuryrif,Forensics,206,8.29
Edoz Uroge,Teapotting,252,4.62
Iniqezox Uxafifinyq,Pwn,228,8.15
Emehi Uzawezixid,Reverse,213,9.29
Ojihuq Ariqezuz,Cybersec,257,9.81
Ajowam Yfesykuko,Forensics,202,4.32
Uhesihupyr Eseka,Teapotting,226,7.5
Omyd Uwowoqyt,Pwn,259,7.76
Ovu Uqo,Forensics,206,6.67
Erejazog Uzepemexy,Teapotting,258,7.62
Ygasihime Upecyji,Pwn,236,5.53
Ulej Ypopyh,Forensics,230,9.78
Ozatepanux Erocezila,Pentest,208,5.11
Iro Oweruxiden,Reverse,250,4.57
Ucypureme Asuwidys,Teapotting,217,5.01
Ajujecifi Ypemesugal,Pentest,202,9.73
Oxudac Ihurytyces,Pentest,248,7.38
Obojagin Yzirus,Pwn,240,5.26
Yqaweqe Yto,Pwn,218,6.33
Ilatuqel Ejicaxyci,Pentest,224,5.98
Udybaz Orexogoqe,Cybersec,217,7.94
Ura Igyherat,Reverse,257,7.53
Ucurywani Ymasymucix,Forensics,250,4.81
Ifydubo Yxonaz,Pwn,257,9.37
Apafuzuza Ikyqasafak,Forensics,255,9.41
Ujyxugi Omyk,Teapotting,252,6.88
Ocorij Eqirare,Cybersec,227,6.67
Aqikogo Yxolafylub,Teapotting,221,5.14
Apisevaba Efu,Pwn,237,9.74
Erib Axasimuri,Teapotting,235,7.6
Isef Omin,Cybersec,225,9.69
Ydydycojep Unuqyze,Forensics,236,9.32
Ocyce Isu,Forensics,217,4.17
Asyqigudij Afytaby,Cybersec,260,9.88
Otysemuxy Anosobike,Forensics,201,4.25
Yvy Adaqepasyx,Cybersec,247,9.7
Omox Imonecax,Forensics,258,7.54
Osybilydo Ysuw,Reverse,244,10.0
Avonetyxe Enixalywi,Pentest,252,5.56
Awiqu Obahu,Forensics,243,6.21
Ynijohomem Ibalew,Forensics,202,4.39
Ifyk Ytudor,Teapotting,257,4.45
Ata Ypewakuf,Reverse,201,5.0
Iqafac Ekisuva,Forensics,240,5.62
Isyjir Ajahu,Reverse,223,9.91
Ifyba Upixofi,Reverse,202,4.36
Izene Ejero,Pwn,210,7.03
Ojydet Ahox,Reverse,223,9.37
Erij Apy,Pwn,226,9.59
Avym Unigykupa,Pentest,258,8.88
Axyg Omub,Reverse,212,5.73
Ewef Imyr,Reverse,227,7.28
Ylimoluvyf Iwo,Teapotting,250,7.53
Akaqujepo Ilumawysob,Reverse,242,7.25
Ura Ihek,Pentest,229,8.04
Iwon Ycot,Forensics,259,7.48
Asetevobag Ubaqyjepu,Forensics,255,5.27
Egora Owylidina,Cybersec,251,4.33
Oroqipys Yfo,Reverse,205,5.23
Aqaqa Ycuby,Cybersec,212,5.31
Ynohopazy Ylyxe,Pentest,208,7.74
Ugod Awybu,Reverse,208,5.5
Okusiga Ekyxewujy,Reverse,235,6.09
Oja Anek,Pwn,240,7.99
Asim Itowym,Pwn,217,4.49
Ucaf Yrowad,Pwn,200,7.46
Otavyfuv Ewihamete,Teapotting,234,7.21
Utol Apiporuwo,Reverse,215,9.73
Ihykawo Amycyvivid,Pentest,229,8.42
Irenoqon Acu,Reverse,206,8.07
Esu Iby,Cybersec,250,7.22
Ezuwi Ezubyruv,Teapotting,220,4.64
Yqyzejil Ivypehyh,Forensics,221,6.7
Ulato Ixiqykuvil,Pwn,244,7.21
Ekahewup Anymyno,Teapotting,244,6.1
Ofyno Ejiz,Teapotting,230,9.35
Uhorof Uqabad,Pwn,251,6.72
Ihuby Yryg,Cybersec,251,4.03
Aqorymezac Ufiti,Teapotting,229,5.33
Icu Umeja,Cybersec,221,7.4
Ynapuruly Ydiqas,Pentest,236,8.48
Ynan Ymovilynu,Teapotting,252,7.91
Ivykotoqi Amifixyqe,Cybersec,203,4.36
Yhej Alydepyk,Cybersec,236,6.41
Owy Adedim,Cybersec,219,9.36
Elejogoba Ugyx,Teapotting,201,5.46
Amotiwyvuk Oqoke,Cybersec,247,6.59
Yqujava Ytuvyco,Cybersec,249,4.74
Elepicuwi Yhumanoc,Pwn,206,5.89
Ydaronog Ozoqugujyg,Pwn,222,8.15
Udegul Ogeluh,Pentest,255,6.25
Umito Ylewo,Forensics,246,7.93
Azoregerej Unajyqifo,Pwn,223,4.81
Ukibefen Iqomix,Reverse,235,4.77
Ahejufixyz Ibibo,Pentest,233,5.15
Ifinogo Epamu,Teapotting,229,4.56
Ejoxone Ape,Pentest,244,4.02
Otiqugiba Ucoduzynas,Pwn,246,4.93
Inamecu Yhajuta,Pwn,219,8.15
Osevo Ylumug,Pwn,257,4.33
Isaq Ywudycoq,Pentest,224,8.68
Ezim Ijiwinir,Cybersec,218,4.2
Ohyditaj Ycewuxefih,Pentest,236,8.52
Usekemo Iqudesyqe,Teapotting,240,8.01
Yhimybucit Osot,Pentest,224,6.15
Uwun Ufake,Pentest,212,5.67
Aqoq Etusinam,Cybersec,221,5.49
Yxukicolin Opexig,Forensics,228,9.26
Uninacazak Ojakatomy,Pwn,200,6.75
Epiqecyl Ediraj,Forensics,226,9.67
Ehytify Ojed,Forensics,240,4.38
Ajiwe Aby,Pwn,201,8.12
Ujucyjahef Ikiry,Cybersec,201,9.34
Ekapop Ahyc,Forensics,247,7.12
Ytu Ejaku,Teapotting,241,8.86
Ufaxydi Emuxidaxax,Forensics,226,6.07
Ahyjamexi Atexesa,Cybersec,211,5.08
Ywikeguc Agaly,Reverse,234,5.25
Ykubep Uxeqo,Pentest,252,6.7
Yvused Ocomedis,Pentest,255,8.0
Yqen Owuhezyn,Pwn,202,5.12
Osibi Ubev,Reverse,225,7.45
Urovun Etopuwuq,Cybersec,231,7.55
Edynahimyt Ipeh,Pwn,232,9.73
Ezijov Akepaje,Reverse,223,5.73
Iri Uvucy,Pentest,200,7.63
Onyvuxito Acy,Pentest,204,4.03
Ixocolame Adywaxebys,Forensics,226,8.97
Yguxodugar Awuwinajel,Reverse,229,5.06
Anedohosa Ytucaz,Forensics,214,6.86
Efutixyhuq Amurom,Cybersec,224,7.65
Uquwifec Urapedoz,Cybersec,228,4.81
Eje Ale,Reverse,259,9.78
Ijiwegurih Yxenex,Pwn,247,6.68
Onocopix Uhexuf,Reverse,249,5.97
Evugegodof Utapigyqiw,Pwn,219,4.67
Obo Yqozak,Reverse,231,9.91
Omyzaly Evywojemaz,Forensics,212,6.69
Aqy Awidymazo,Reverse,204,8.63
Axyl Adeguraxyj,Cybersec,247,9.73
Onikezohaq Ityq,Teapotting,249,8.04
Umabadys Ucebihud,Pentest,202,5.26
Apef Unyruragi,Teapotting,254,9.78
Otemurus Orosywoboc,Pentest,215,9.62
Ocyfike Iticy,Cybersec,217,4.81
Agux Avoret,Reverse,232,7.38
Etexif Ebe,Pentest,218,4.16
Acibasu Iqezutena,Pentest,253,9.41
Yzamyl Yrasow,Cybersec,223,6.19
Uxexonaw Edydys,Forensics,217,5.96
Ejupaty Ityvum,Reverse,252,4.46
Amot Awe,Pwn,237,8.59
Ekov Owakeviwe,Pentest,239,9.65
Etelidema Oxadywoxa,Teapotting,212,4.12
Yryfuhos Ygifuzip,Forensics,256,5.91
Awuzecoh Igybifal,Forensics,212,9.64
Ogumal Amaxekebud,Teapotting,239,5.33
Ykewyr Yqofeh,Teapotting,220,6.05
Ijyti Ijocoru,Cybersec,214,5.38
Avozym Ikap,Pwn,243,7.43
Evesaw Umo,Forensics,231,9.47
Okecozoju Oqefegyji,Pwn,206,6.35
Yfebuxus Odugenazy,Forensics,252,4.3
Odowet Ycilufa,Reverse,254,7.62
Ahuci Uwi,Pentest,258,4.06
Utocuqa Ysix,Pwn,226,9.57
Yfuzygy Ivuhyd,Pwn,233,4.54
Ysabor Emakiqy,Teapotting,233,8.49
Yfotoqoxe Anodi,Forensics,206,4.03
Aficege Yjevele,Pentest,259,5.41
Ibydej Ygezuse,Cybersec,203,4.3
