name,faculty,group,gpa
Ojowiko Axyloq,Pentest,238,5.15
Uzyhiqimeb Ewu,Forensics,232,7.66
Otycodaco Ire,Pentest,257,5.13
Ezinovo Oxify,Pentest,204,6.26
Ypyfexy Ovore,Pentest,216,7.74
Iqev Ygatyxuzot,Forensics,260,6.54
Ukufiro Ifemo,Reverse,243,9.01
Asuxuzebi Iqyde,Pentest,204,4.29
Ybadis Aladefovo,Pwn,250,9.69
Ugojytogi Elyw,Cybersec,249,6.19
Emetabigug Apyvyvo,Forensics,232,9.63
Ydohekak Ydadahunu,Forensics,219,9.03
Ofap Emufaxaho,Cybersec,232,7.73
Ozokazyvaz Ocol,Forensics,256,8.45
Ufupo Ereciresin,Teapotting,244,6.07
Ejupyqa Ojy,Forensics,203,4.21
Axyhivaki Ogy,Pwn,235,6.17
Udoxanurum Yvytezebi,Teapotting,222,6.31
Ytebe Ydybomuqo,Pwn,234,9.4
Ulypu Axajuwudi,Teapotting,217,4.74
Oxywi Ydok,Cybersec,241,8.53
Yzup Inavekum,Pentest,232,8.73
Apam Agywukuk,Forensics,208,6.05
Asaxysyt Uvabi,Cybersec,229,9.35
Olydygax Ehekyqi,Reverse,225,5.1
Igycev Aqiqu,Teapotting,254,8.4
Ebi Ezezibot,Pentest,253,5.34
Arotuji Ogalyn,Reverse,231,7.9
Anym Yrike,Cybersec,247,8.57
Ipanybeg Eqynih,Pentest,259,9.5
Ygyson Osyvu,Pentest,205,5.56
Ycim Ynakifideh,Forensics,222,4.32
Avulap Yxyvidi,Teapotting,221,4.18
Axizemozu Yvow,Forensics,211,5.47
Ymoly Umirexeqiw,Pwn,232,6.35
Upiwelag Ibudy,Reverse,230,6.73
Ixiwoqoxit Ozade,Forensics,212,4.87
Uxovepah Ibik,Cybersec,226,6.02
Araz Awadod,Forensics,244,6.63
Yryd Erycejizih,Reverse,240,6.58
Oca Ity,Teapotting,239,7.51
Ici Orasara,Teapotting,221,8.32
Ewupes Egivu,Cybersec,252,8.71
Aforucamy Ixo,Reverse,248,7.12
Iwywaguhyp Ozyty,Pwn,233,5.08
Ohowaha Uruheg,Reverse,214,9.93
Igy Iwybot,Pentest,239,5.05
Ewyfafepap Itikyjy,Teapotting,223,6.82
Oriby Emum,Pwn,218,8.99
Egohuboru Uhys,Forensics,219,6.68
Esyrabo Ujyhuxi,Teapotting,207,7.04
Iduseloky Ujoq,Reverse,211,9.65
Ujaceg Udovehebo,Cybersec,228,8.55
Ejilejasoq Yfyrypys,Reverse,232,5.31
Eceki Ovavyxo,Pwn,259,5.88
Axybymax Ivuzotiwa,Teapotting,207,9.28
Igywiwyp Uvocogysy,Forensics,210,8.21
Eralohyjef Ora,Cybersec,233,4.94
Oqyl One,Cybersec,204,4.66
Ixisyqihu Igiveqir,Pentest,254,5.29
Agycuv Ydasuxokew,Pwn,202,4.89
Azasohe Epixukug,Forensics,226,4.19
Ilytob Yramobiv,Reverse,212,7.87
Azokisin Yginob,Pentest,249,6.96
Idetoxe Eqi,Pentest,241,4.93
Yvilisuqa Ovuc,Pwn,254,6.97
Ujuqizebyf Aziku,Reverse,227,6.18
Ybyco Yko,Forensics,245,9.22
Azi Owusodu,Reverse,216,4.41
Ipefu Awel,Cybersec,215,7.21
Ajej Ukyxux,Cybersec,223,9.28
Ujywalu Yxu,Forensics,226,4.87
Ycotowylek Ocyheq,Pwn,230,7.09
Ybimuhip Axufe,Forensics,202,5.6
Iqi Ewa,Teapotting,209,6.75
Ifygeryfum Ihy,Pentest,220,8.51
Ewu Efyzin,Pwn,202,6.21
Ekiz Ajofamibog,Teapotting,213,8.78
Ugydiwugej Ocy,Pentest,223,7.36
Ijyxixuzyq Iqegarumu,Pwn,222,5.87
Ipizydewi Axiloze,Pwn,248,5.52
Alycisyqeb Okas,Pentest,210,6.32
Ynegokafed Agocevy,Pentest,212,5.9
Ofecuzi Ahomom,Pentest,248,8.8
Ijojo Isivylus,Reverse,226,7.06
Uzy Ulemin,Pwn,212,5.07
Ifobovyv Eqaveg,Teapotting,209,8.7
Egurygi Evawagopy,Teapotting,231,4.87
Usukid Opajahew,Cybersec,236,9.81
Iga Afe,Reverse,205,5.54
